Mon Nov  4 20:57:14 2024    profile_results.prof

         25026 function calls (24957 primitive calls) in 6.590 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 .\chat_detection.py:96(load_templates)
        2    0.000    0.000    0.001    0.001 C:\Users\hilua\AppData\Local\Programs\Python\Python37\lib\multiprocessing\connection.py:332(_get_more_data)
       11    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
        1    0.000    0.000    0.001    0.001 C:\Users\hilua\AppData\Local\Programs\Python\Python37\lib\runpy.py:8(<module>)
    20887    0.001    0.000    0.001    0.000 .\chat_detection.py:288(<lambda>)
        1    0.000    0.000    0.001    0.001 C:\Users\hilua\AppData\Local\Programs\Python\Python37\lib\multiprocessing\queues.py:36(__init__)
        2    0.001    0.001    0.001    0.001 {imread}
        1    0.000    0.000    0.001    0.001 C:\Users\hilua\AppData\Local\Programs\Python\Python37\lib\queue.py:1(<module>)
        1    0.000    0.000    0.001    0.001 D:\Snoopy_AI\Snoopy_AI\snoopyAI\snoopyAI\lib\site-packages\PIL\Image.py:803(frombytes)
        1    0.001    0.001    0.001    0.001 {method 'join' of 'bytes' objects}
        2    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1040(create_module)
        2    0.001    0.000    0.001    0.000 {built-in method _imp.create_dynamic}
        1    0.001    0.001    0.001    0.001 {method 'decode' of 'ImagingDecoder' objects}
        1    0.000    0.000    0.001    0.001 C:\Users\hilua\AppData\Local\Programs\Python\Python37\lib\multiprocessing\connection.py:10(<module>)
        2    0.000    0.000    0.001    0.000 C:\Users\hilua\AppData\Local\Programs\Python\Python37\lib\os.py:713(copy)
        1    0.000    0.000    0.001    0.001 D:\Snoopy_AI\Snoopy_AI\snoopyAI\snoopyAI\lib\site-packages\PIL\Image.py:2897(new)
        1    0.001    0.001    0.001    0.001 {built-in method PIL._imaging.fill}
      120    0.001    0.000    0.001    0.000 C:\Users\hilua\AppData\Local\Programs\Python\Python37\lib\os.py:676(__getitem__)
        1    0.000    0.000    0.001    0.001 <__array_function__ internals>:2(linspace)
      4/1    0.000    0.000    0.001    0.001 {built-in method numpy.core._multiarray_umath.implement_array_function}
        1    0.000    0.000    0.001    0.001 D:\Snoopy_AI\Snoopy_AI\snoopyAI\snoopyAI\lib\site-packages\numpy\core\function_base.py:23(linspace)
        4    0.001    0.000    0.001    0.000 {method 'write' of '_io.BytesIO' objects}
       11    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:792(find_spec)
       11    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
       11    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
        4    0.001    0.000    0.001    0.000 {built-in method _winapi.ReadFile}
        3    0.001    0.000    0.001    0.000 {built-in method builtins.print}
        1    0.000    0.000    0.001    0.001 <__array_function__ internals>:2(any)
        1    0.000    0.000    0.001    0.001 D:\Snoopy_AI\Snoopy_AI\snoopyAI\snoopyAI\lib\site-packages\numpy\core\fromnumeric.py:2268(any)
        1    0.000    0.000    0.001    0.001 D:\Snoopy_AI\Snoopy_AI\snoopyAI\snoopyAI\lib\site-packages\numpy\core\fromnumeric.py:69(_wrapreduction)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
        9    0.000    0.000    0.000    0.000 {method 'read' of '_io.FileIO' objects}
       33    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
        1    0.000    0.000    0.000    0.000 C:\Users\hilua\AppData\Local\Programs\Python\Python37\lib\pkgutil.py:1(<module>)
       12    0.000    0.000    0.000    0.000 {built-in method _winapi.CloseHandle}
